Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
fermat/46382,1.8579992872988234e-2,1.845922040888815e-2,1.874431315506845e-2,3.395477996159615e-4,2.6774702379066056e-4,4.4184530871848644e-4
fermat/7684781,0.12056633152550314,0.11733262561733511,0.12947674657547772,7.682216835964169e-3,1.2934987612189162e-3,1.1313882761569966e-2
fermat/9476408,0.4502144536614785,0.4448368198771043,0.4536332767653697,5.146395871021904e-3,0.0,5.921575318029901e-3
fermat/36780482,14.101642895716852,13.796037568585097,14.339763009417931,0.3681814330688508,0.0,0.4124361352343459
fermat/562390848,9.233549014317551e-3,9.196136184130904e-3,9.277302660011574e-3,1.1342521101561345e-4,9.043131647884954e-5,1.6419008329891915e-4
fermat/1894083630,33.91759831643893,33.80786108218844,33.98921204379322,0.10749550634774489,0.0,0.12403861429702742
fermat/65398261923,2.6909030610388577e-4,2.666698895629905e-4,2.7242433173087444e-4,9.76088816700507e-6,7.131259550095285e-6,1.4636906624949208e-5
fermat/364879542897,30.246424706105547,30.024617182188546,30.367990941668236,0.19473604786963153,4.351167857633658e-15,0.21055889647945766
fermat/8590365927554,51.234409166661464,50.29168443818835,51.76205084155786,0.8336987960475662,0.0,0.9139021891113023
fermat/28564333765948,55.05742774596714,54.36445722437727,55.607147823369694,0.8555089853287203,0.0,0.9521431040019118
fermat/123456789101121,3.1484458335611287e-3,3.1469143037128255e-3,3.1502821959692485e-3,5.696119106195825e-6,4.626260519414073e-6,7.67730892528121e-6
