Case,Time
46382,1.4864999684505165e-05
768480,1.3468999895849265e-05
9476408,3.1846999263507314e-05
36780482,3.182200089213438e-05
562390848,1.4327000826597214e-05
1894083630,1.4864001059322618e-05
65398261922,2.6421999791637063e-05
364879542900,1.6553998648305424e-05
8590365927554,3.470200135780033e-05
28564333765950,1.7066000509657897e-05
12345678910112,4.590500066115055e-05
